,name,floorPrice,marketCap,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,thirtyDayVolume,totalVolume,id
5500,Untitled Collection #64288821,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDAyMDY4
5501,Rasa Malaysia,0.035,0.07,1.0,2.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZTo5NDE0NTI=
5502,ASWAN6 GEMS,0.05,0.014,16.0,1.0,0.0,0.07,-1.0,0.0,2.5000000000000004,0.07,0.095,Q29sbGVjdGlvblN0YXRzVHlwZTo3MzQzOTM=
5503,Crypto Markhor,0.03,0.3966666666666667,2.0,17.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZTo4Mzk4ODI=
5504,Untitled Collection #64652994,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDA1MTMz
5505,Untitled Collection #65016857,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDEyNTA4
5506,Untitled Collection #65035925,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDEyNjU3
5507,Untitled Collection #64583012,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDA0MzU4
5508,Untitled Collection #65172264,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDE0MTUy
5509,Scormeleon Collection,0.08,0.14,2.0,2.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZTo5Njc3OTg=
5510,Space Chonks,0.05,3.8850000000000002,66.0,111.0,-0.8102981029810298,0.07,0.0,0.05,0.9790575916230366,1.323,1.9915,Q29sbGVjdGlvblN0YXRzVHlwZTo3OTAwNDk=
5511,Untitled Collection #65628511,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDE5MjYx
5512,Untitled Collection #64309847,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDAyMTc0
5513,Untitled Collection #65644549,0.035,0.035,2.0,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDE5NDY2
5514,CritterCards,0.01,0.12000000000000001,6.0,12.0,0.0,0.07,-1.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZToxMDA4NzQ5
